Entity,Code,Year,Gas - Prices (US dollars per MWh),Consumption,Production
OECD,,2011,63.093448275862066,430.2676020902148,7.199859421
OECD,,2012,63.98448275862069,444.52768458312005,6.201169243
OECD,,2013,62.05,451.5240784173678,3.936698973
OECD,,2014,57.13172413793102,379.1792079842418,3.479215161
OECD,,2015,29.826206896551728,407.6650462823604,3.479215161
OECD,,2016,23.95241379310345,445.6107701310688,3.479215161
United Kingdom,GBR,1996,6.344302045103445,859.8407900000001,980.3225874
United Kingdom,GBR,1997,6.653519857700033,884.18238,935.5296376
United Kingdom,GBR,1998,6.340532145362853,919.1437160940001,977.5577975
United Kingdom,GBR,1999,5.36882986709163,978.62011992,1081.923571
United Kingdom,GBR,2000,9.216842405396822,1013.160236022,1187.36481
United Kingdom,GBR,2001,10.793792529666657,1008.056317482,1155.86941
United Kingdom,GBR,2002,8.066849486539684,994.897749366,1145.060823
United Kingdom,GBR,2003,11.327011884901184,997.4478203425065,1134.752037
United Kingdom,GBR,2004,15.15460139177953,1019.333519948047,1070.208533
United Kingdom,GBR,2005,25.102454150000018,993.3631921584011,975.9380258
United Kingdom,GBR,2006,26.765166681904763,942.0933205407766,885.6170707
United Kingdom,GBR,2007,20.421701318995257,952.5312680456963,796.9432112
United Kingdom,GBR,2008,36.69502567884135,981.5973228978063,769.0417377
United Kingdom,GBR,2009,16.49,910.2635997609403,656.9483597
United Kingdom,GBR,2010,22.290901638741488,986.162784287108,626.4066066
United Kingdom,GBR,2011,30.744432270916366,817.2799157222679,483.9343841
United Kingdom,GBR,2012,32.179232133423916,773.3497562152476,454.5423909
United Kingdom,GBR,2013,36.17070177413886,764.5236553987182,425.2940954
United Kingdom,GBR,2014,28.061117513628226,697.8876064452294,426.5449703
United Kingdom,GBR,2015,22.188733879624976,713.2398579115851,426.5449703
United Kingdom,GBR,2016,15.946605113036307,802.7634874254917,426.5449703
United States,USA,1989,5.768666666666666,5744.689144697105,5230.715285
United States,USA,1990,5.570333333333333,5745.121131454538,5371.054436
United States,USA,1991,5.054666666666666,5871.0804397749225,5342.40522
United States,USA,1992,6.023666666666666,6070.566297393321,5385.330168
United States,USA,1993,7.2108333333333325,6221.577027720955,5446.39695
United States,USA,1994,6.528,6367.867848463466,5670.430987
United States,USA,1995,5.734666666666666,6644.254968752912,5592.644513
United States,USA,1996,9.372666666666666,6765.442200837681,5669.321987
United States,USA,1997,8.584999999999999,6805.9062304252875,5683.755394
United States,USA,1998,7.086166666666666,6690.878766093398,5748.317693
United States,USA,1999,7.703833333333333,6714.031673708074,5668.295111
United States,USA,2000,14.367833333333332,6982.118435148101,5762.328485
United States,USA,2001,13.832333333333333,6673.977943618707,5909.950281
United States,USA,2002,11.32483333333333,6890.124598505326,5680.478805
United States,USA,2003,19.125,6691.000683658591,5754.187419
United States,USA,2004,19.887166666666666,6718.0860188928345,5590.238945
United States,USA,2005,29.87183333333333,6613.255376305447,5438.443746
United States,USA,2006,22.998166666666666,6517.5307449393795,5574.924551
United States,USA,2007,23.63,6934.870103357078,5798.855133
United States,USA,2008,30.087166666666654,6987.6797517756895,6067.638359
United States,USA,2009,13.237333333333332,6862.534594888244,6195.509471
United States,USA,2010,14.922088052255903,7202.149453998782,6390.893863
United States,USA,2011,13.630710727030765,7313.453450384135,6859.691204
United States,USA,2012,9.368263345807932,7645.808646015437,7198.45248
United States,USA,2013,12.604786016475853,7855.809307489474,7288.609106
United States,USA,2014,14.782321271204223,8025.1161716568895,7740.946286
United States,USA,2015,8.85246715174012,8263.434239144175,7740.946286
United States,USA,2016,8.370252269619392,8330.805416755364,7740.946286
