Entity,Code,Year,Coal - Prices (US dollars per megawatt-hour),Coal Consumption,Coal Production,Reserve
Japan steam spot cif price,,2002,3.8662009312914742,9467.457537270244,0.059011235890000006,
Japan steam spot cif price,,2003,4.865814516403161,11283.05857841167,0.06763765756,
Japan steam spot cif price,,2004,9.1163043366225,13155.279703915583,0.059011235890000006,
Japan steam spot cif price,,2005,7.93797857381175,15405.105738806564,0.06763765756,
Japan steam spot cif price,,2006,8.0109937646775,16918.381738955406,0.059011235890000006,
Japan steam spot cif price,,2007,11.7413135588391,18423.91293498321,0.06763765756,
Japan steam spot cif price,,2008,19.3928879224575,18715.920623592017,0.059011235890000006,
Japan steam spot cif price,,2009,10.267370958359999,19605.601270552044,0.06763765756,
Japan steam spot cif price,,2010,13.323340752105452,20340.275890070658,0.059011235890000006,
Japan steam spot cif price,,2011,15.493285074817503,22141.805331378175,0.06763765756,
Japan steam spot cif price,,2012,12.320149084845,22420.23367287713,0.059011235890000006,
Japan steam spot cif price,,2013,11.063137247144999,22900.319113977628,0.06763765756,
Japan steam spot cif price,,2014,9.351431062289999,22730.653068720127,0.059011235890000006,
Japan steam spot cif price,,2015,7.381879812414152,22255.36204787045,0.059011235890000006,
Japan steam spot cif price,,2016,8.802107923669588,21952.221156986303,0.06763765756,
Northwest Europe marker price,,1987,3.8447365329,809.08747,15.00643693,
Northwest Europe marker price,,1988,4.90603121802,785.39716,14.899018700000001,
Northwest Europe marker price,,1989,5.16889818864,755.9965200000001,14.250810880000001,
Northwest Europe marker price,,1990,5.340867234839999,755.3103500000001,13.20621637,
Northwest Europe marker price,,1991,5.2573394123999995,756.5896500000001,13.37471012,
Northwest Europe marker price,,1992,4.73283382149,711.3838400000001,11.96387582,
Northwest Europe marker price,,1993,4.1370839114399995,619.4835800000001,9.630589831,
Northwest Europe marker price,,1994,4.56700652694,578.40642,7.0107988180000005,
Northwest Europe marker price,,1995,5.4661589685,551.9132800000001,7.447166623,
Northwest Europe marker price,,1996,5.06694511125,515.97658,7.026764944,
Northwest Europe marker price,,1997,4.78073948436,460.17584,6.766414856000001,
Northwest Europe marker price,,1998,3.930721056,448.69121500000006,5.725891400000001,
Northwest Europe marker price,,1999,3.5364206000699996,398.917141,5.138053936,
Northwest Europe marker price,,2000,4.42083283767,427.147803,4.308326837,
Northwest Europe marker price,,2001,4.794771024668076,452.54539700000004,4.394655029,
Northwest Europe marker price,,2002,3.8876815502065387,415.308463,4.113665001999999,
Northwest Europe marker price,,2003,5.355347595460961,443.1483570000001,3.864022846,
Northwest Europe marker price,,2004,8.853736579544423,425.8915107050309,3.411705353,
Northwest Europe marker price,,2005,7.436338409333078,435.3024824723394,2.768047577,
Northwest Europe marker price,,2006,7.874717744412692,476.042866148664,2.4792972260000004,
Northwest Europe marker price,,2007,10.905932027026733,446.4471715195127,2.2544427500000004,
Northwest Europe marker price,,2008,18.139498143422887,414.2036686599144,2.367596567,
Northwest Europe marker price,,2009,8.679384373252073,346.48780442066465,2.319885284,
Northwest Europe marker price,,2010,11.36219330825654,359.69037323470815,2.359301313,
Northwest Europe marker price,,2011,14.927220297742503,365.7516416163143,2.36682652,
Northwest Europe marker price,,2012,11.36219330825654,453.08206701735384,2.149804313,
Northwest Europe marker price,,2013,10.034275735161346,428.4716325472914,1.607951576,
Northwest Europe marker price,,2014,9.259399276026924,345.65601180727936,1.458466617,
